trial,latency_us,light
1,11573,207
2,8852,247
3,11986,311
4,10613,208
5,7986,307
6,10962,142
7,8693,239
8,10535,249
9,12615,197
10,8934,207
11,11974,199
12,11986,332
13,10298,212
14,10986,392
15,10423,108
16,8934,215
17,10781,304
18,9735,241
19,10986,172
20,11495,248
21,9735,234
22,12532,232
23,10292,206
24,8532,211
25,12740,209
26,8987,150
27,7815,239
28,9643,213
29,7986,311
30,11893,260
31,9653,231
32,11177,228
33,8294,234
34,10987,190
35,10046,204
36,6987,97
37,11815,197
38,9430,151
39,8295,224
40,8987,202
41,9812,194
42,9987,184
43,10986,172
44,11253,201
45,12986,179
46,9172,213
47,11738,143
48,11830,201
49,11814,208
50,8199,123
51,12134,210
52,9895,206
53,11974,249
54,9493,199
55,10986,219
56,11975,198
57,12372,216
58,10987,210
59,9813,248
60,7815,255
61,10582,231
62,8986,148
63,9493,266
64,12775,220
65,8986,115
66,9280,184
67,10986,217
68,12935,208
69,9735,212
70,12295,227
71,11494,198
72,8533,228
73,11815,231
74,8986,224
75,11986,297
76,9755,206
77,7654,198
78,10987,213
79,9399,191
80,11847,199
81,8532,242
82,10133,231
83,8852,243
84,10674,179
85,9741,121
86,11014,194
87,12986,128
88,9895,239
89,9095,345
90,10933,211
91,7987,86
92,8134,218
93,9735,234
94,12533,225
95,10164,166
96,11625,319
97,11814,227
98,9813,217
99,11175,206
100,10375,215
